Net Id, Layer Id,Profile Layer Id,Layer Name,Layer Type,DLD DDR Read(byte),DSTR DDR Write(byte),WLD DDR Read(byte),Original Ops(Times),Core Ops(Times)
NetNnn0,Layer98,64,Conv_200,Convolution,204800,128000,92160,294912000,294912000
NetNnn0,Layer99,65,Conv_203,Convolution,128000,128000,57600,184320000,184320000
NetNnn0,Layer100,66,Conv_206,Convolution,128000,276480,6400,20480000,20480000
NetNnn0,Layer101,67,Reshape_230,Reshape,276480,1209600,0,0,0
NetNnn0,Layer102,68,Conv_178,Convolution,409600,409600,36864,471859200,471859200
NetNnn0,Layer103,69,Conv_181,Convolution,409600,0,36864,471859200,471859200
NetNnn0,Layer104,69,Conv_184,Convolution,0,921600,4096,52428800,52428800
NetNnn0,Layer105,70,Conv_181,Convolution,409600,0,36864,471859200,471859200
NetNnn0,Layer106,70,Conv_184,Convolution,0,921600,4096,52428800,52428800
NetNnn0,Layer107,71,Conv_185,Convolution,409600,512000,46080,589824000,589824000
NetNnn0,Layer108,72,Conv_188,Convolution,512000,512000,57600,737280000,737280000
NetNnn0,Layer109,73,Conv_191,Convolution,512000,921600,6400,81920000,81920000
NetNnn0,Layer110,74,Reshape_226,Reshape,921600,1209600,0,0,0
NetNnn0,Layer111,75,Reshape_249,Reshape,1209600,537600,0,0,0
NetNnn0,Layer112,76,Transpose_250,Permute,537600,537600,0,0,0
NetNnn0,Layer113,77,Softmax_251,Softmax,537600,537600,0,0,0
NetNnn0,Layer114,78,Conv_252,Convolution,537600,33600,16,1075200,8601600
NetNnn0,Layer115,79,Reshape_258,Reshape,33600,33600,0,0,0
NetNnn0,Layer116,80,Slice_269,Crop,33600,16800,0,0,0
NetNnn0,Layer117,81,Sub_274,BinaryMath,16800,16800,0,0,0
NetNnn0,Layer118,82,Slice_272,Crop,33600,16800,0,0,0
NetNnn0,Layer119,83,Add_276,BinaryMath,16800,16800,0,0,0
NetNnn0,Layer120,84,Add_277,Eltwise,33600,0,0,0,0
NetNnn0,Layer121,84,Div_278,BinaryMath,0,33600,0,0,0
NetNnn0,Layer122,84,Sub_279,Eltwise,0,33600,0,0,0
NetNnn0,Layer123,85,Mul_282,BinaryMath,33600,705600,0,0,0
NetNnn0,Layer124,86,Sigmoid_283,VectorCombine,1209600,705600,0,0,0
NetNnn0,Layer125,87,Concat_284_report_0_0,Reportop,705600,2822400,0,0,0
